site_id,site_name,city,source_url,status,selected_image_url,saved_path,width,height,note
2,Belmont Hall,Smyrna,http://www.belmonthall.org/,ok,https://lh3.googleusercontent.com/sitesv/AA5AbUAEE8vumjdJAy9gXPLbVSKp9eCM3YJ5S3_HXoLIBN6QO08haCEkhvXwxx4WTUP68mPNixJ6UM9kPKXN-_xgHY62MUvIZnoid25ElFiY_nW8m2GqHo3oqK9gm7OU7GYtLbsmrxiLS0pzSu575aS8SBeSstkNCTkRiQ0tMkfsPYr8gisWu_D2tWOxc4M=w16383,non-marker-images/02_belmont-hall__belmonthall-org.jpg,1058,595,picked_css_score_26.0
3,Governor's House,Dover,https://woodburn.delaware.gov/,ok,https://woodburn.delaware.gov/wp-content/themes/dosgic_WOODBURN_theme/img/woodburn-great-hall.jpg,non-marker-images/03_governor-s-house__woodburn-delaware-gov.jpg,523,313,picked_img_score_38.0
10,Vincelette Futuro House,Houston,https://www.nps.gov/places/vincelette-futuro-house.htm,ok,https://www.nps.gov/common/uploads/cropped_image/primary/7DACE012-9A74-1C12-82FF46F21AD7DEDE.jpg?width=1600&quality=90&mode=crop,non-marker-images/10_vincelette-futuro-house__nps-gov.jpg,1600,900,picked_img_score_40.0
11,Corbit-Sharp House,Odessa,https://historicodessa.org/explore-our-property/historic-houses/corbit-sharp-house,ok,https://historicodessa.org/sites/default/files/styles/main_image_2_1/public/2025-04/Corbit-Sharp_extreme_angle_facing_left.jpg?h=cc79ee6d&itok=7TD1t5KO,non-marker-images/11_corbit-sharp-house__historicodessa-org.jpg,1600,800,picked_img_score_50.0
12,Scott A.M.E. Zion Church,Wilmington,https://amezion.org/location/scott/,ok,https://amezion.org/wp-content/uploads/2022/11/ame-zion-homepage-header-01.jpg,non-marker-images/12_scott-a-m-e-zion-church__amezion-org.jpg,2400,1600,picked_css_score_38.0
13,New Castle Historic District,New Castle,https://www.newcastlehistory.org/,ok,"https://static.wixstatic.com/media/44d6f4_674574a7c9e34fa380a871fcaaa9e40a~mv2.jpg/v1/fill/w_2500,h_1406,al_c/44d6f4_674574a7c9e34fa380a871fcaaa9e40a~mv2.jpg",non-marker-images/13_new-castle-historic-district__newcastlehistory-org.jpg,2500,1406,picked_og_score_48.0
14,New Castle County Court House,New Castle,https://history.delaware.gov/new-castle-court-house-museum/,ok,https://history.delaware.gov/wp-content/uploads/sites/179/2024/05/IMG_8894-scaled.jpg,non-marker-images/14_new-castle-county-court-house__history-delaware-gov.jpg,2560,1707,picked_og_score_60.0
15,Eleutherian Mills,Wilmington,https://www.hagley.org/,ok,https://www.hagley.org/sites/default/files/styles/event_slider/public/hagley-2019-09-29-sights-and-sounds-tour%20%28credit%20Kerry%20Harrison%29-024.JPG.webp?itok=K1RIBp6K,non-marker-images/15_eleutherian-mills__hagley-org.webp,630,460,picked_img_score_36.0
18,African Union Church and Cemetery of Iron Hill and Museum complex,Newark,https://history.delaware.gov/2021/10/04/iron-hill-church-national-register/,needs_manual_source,,,0,0,picked_jsonld_score_-10.0_small | rejected_low_quality_or_avatar
22,"Ross, Gov. William H., House",Seaford,https://www.seafordhistoricalsociety.com/visit/gov-ross-mansion/,ok,https://www.seafordhistoricalsociety.com/wp-content/uploads/fb.jpg,non-marker-images/22_ross-gov-william-h-house__seafordhistoricalsociety-com.jpg,1200,630,picked_og_score_62.0
25,Phillips Potato House - in ok condition,Laurel,https://en.wikipedia.org/wiki/Phillips_Potato_House,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/LRWalls_-_Phillips_Potato_House_Ext2.jpg/1280px-LRWalls_-_Phillips_Potato_House_Ext2.jpg,non-marker-images/25_phillips-potato-house-in-ok-condition__en-wikipedia-org.jpg,1280,1027,picked_og_score_68.0
27,Johnson School - Nanticoke Community Center,Millsboro,https://www.nanticokeindians.org/,ok,https://www.nanticokeindians.org/wp-content/uploads/fb.jpg,non-marker-images/27_johnson-school-nanticoke-community-center__nanticokeindians-org.jpg,1200,630,picked_og_score_66.0
28,Camp Rehoboth Community Center at 37 Baltimore Ave,Lewes,https://www.camprehoboth.org/,ok,https://www.camprehoboth.org/wp-content/uploads/fb.jpg,non-marker-images/28_camp-rehoboth-community-center-at-37-baltimore-ave__camprehoboth-org.jpg,1200,630,picked_og_score_74.0
29,Delaware Breakwater and Lewes Harbor,Lewes,https://cheslights.org/delaware-breakwater-east-end/,ok,https://i0.wp.com/cheslights.org/wordpress/wp-content/uploads/2013/04/DSC_0695-2-DE-Break-Wtr-LH-2020-Oct-scaled.jpg?fit=696%2C471&ssl=1,non-marker-images/29_delaware-breakwater-and-lewes-harbor__cheslights-org.jpg,696,471,picked_jsonld_score_44.0
30,Fenwick Island Lighthouse Station,Fenwick Island,https://fenwickislandlighthouse.org/,ok,https://fenwickislandlighthouse.org/wp-content/uploads/2009/02/cropped-header2.jpg,non-marker-images/30_fenwick-island-lighthouse-station__fenwickislandlighthouse-org.jpg,736,229,picked_css_score_54.0
31,Lewes Historic District- Zwaanendael Museum image and several Dutch and early US sites,Lewes,https://history.delaware.gov/zwaanendael-museum/,ok,https://history.delaware.gov/wp-content/uploads/sites/179/2024/02/Zwaanendael-Museum-008-edited.-Photo-by-Andrea-Anderson.jpg,non-marker-images/31_lewes-historic-district-zwaanendael-museum-image-and-several-dutch-and-early-us-sites__history-delaware-gov.jpg,1296,1037,picked_og_score_80.0
