site_id,site_name,county,city,source_url,source_label
2,Belmont Hall,Kent,Smyrna,http://www.belmonthall.org/,Official Site
3,Governor's House,Kent,Dover,https://woodburn.delaware.gov/,Official Site
10,Vincelette Futuro House,Kent,Houston,https://www.nps.gov/places/vincelette-futuro-house.htm,NPS
11,Corbit-Sharp House,New Castle,Odessa,https://historicodessa.org/explore-our-property/historic-houses/corbit-sharp-house,Historic Odessa Foundation
12,Scott A.M.E. Zion Church,New Castle,Wilmington,https://amezion.org/location/scott/,AME Zion Church
13,New Castle Historic District,New Castle,New Castle,https://www.newcastlehistory.org/,New Castle Historical Society
14,New Castle County Court House,New Castle,New Castle,https://history.delaware.gov/new-castle-court-house-museum/,DE Historical Affairs
15,Eleutherian Mills,New Castle,Wilmington,https://www.hagley.org/,Hagley Museum
18,African Union Church and Cemetery of Iron Hill and Museum complex,New Castle,Newark,https://history.delaware.gov/2021/10/04/iron-hill-church-national-register/,DE Historical Affairs
22,"Ross, Gov. William H., House",Sussex,Seaford,https://www.seafordhistoricalsociety.com/visit/gov-ross-mansion/,Seaford Historical Society
25,Phillips Potato House - in ok condition,Sussex,Laurel,https://en.wikipedia.org/wiki/Phillips_Potato_House,Wikipedia
27,Johnson School - Nanticoke Community Center,Sussex,Millsboro,https://www.nanticokeindians.org/,Nanticoke Indian Tribe
28,Camp Rehoboth Community Center at 37 Baltimore Ave,Sussex,Lewes,https://www.camprehoboth.org/,Official Site
29,Delaware Breakwater and Lewes Harbor,Sussex,Lewes,https://cheslights.org/delaware-breakwater-east-end/,Chesapeake Chapter USLHS
30,Fenwick Island Lighthouse Station,Sussex,Fenwick Island,https://fenwickislandlighthouse.org/,Official Site
31,Lewes Historic District- Zwaanendael Museum image and several Dutch and early US sites,Sussex,Lewes,https://history.delaware.gov/zwaanendael-museum/,DE Historical Affairs
