Name,Address,GPS,County
Loockerman Hall,1200 N. Dupont Highway Dover 19901,"39.18556359124577, -75.54504537615405",Kent
Belmont Hall,"217 Smyrna Leipsic Rd, Smyrna, DE 19977","39.294800995808416, -75.59583366403837",Kent
Woodburn: The Governor's House,"151 Kings Hwy SW, Dover, DE 19901","39.16179828971196, -75.52316863391617",Kent
Brecknock,"80 Old Camden Rd, Camden, DE 19934","39.12275117791096, -75.53533242574701",Kent
John Dickenson House - Poplar Hall,"340 Kitts Hummock Rd, Dover, DE 19901","39.10313058004393, -75.44896762051064",Kent
Barratt's Chapel,"6362 Bay Rd, Frederica, DE 19946","39.02490218103161, -75.45911870687719",Kent
Star Hill AME Church,"357 Voshells Mill Star Hill Rd, Dover, DE 19901","39.10225573091403, -75.5359274222509",Kent
Old Statehouse or The Green,"25 The Green, Dover, DE 19901","39.1567279412666, -75.5228997068914",Kent
Thorne - Parson - Mansion,"501 NW Front St, Milford, DE 19963","38.91335977613854, -75.43503893576012",Kent
Vincelette Futuro House,"4388 Deep Grass Ln, Houston, Delaware 19954","38.920310237911906, -75.51425773925185",Kent
Corbit-Sharp House,"118 Main St, Odessa, DE 19730","39.45413766058417, -75.65703077805425",New Castle
Scott A.M.E. Zion Church,"629 E 7th St, Wilmington, DE 19801","39.740517296228575, -75.5424327432192",New Castle
New Castle Historic District,"10 Market St, New Castle, DE 19720","39.66475098686004, -75.56251330031537",New Castle
New Castle County Court House,"211 Delaware St, New Castle, DE 19720","39.65997864439317, -75.56324231114178",New Castle
Eleutherian Mills,"200 Hagley Creek Road, Wilmington, DE 19807","39.77511095903222, -75.57791177992624",New Castle
Old College Historic District,"18 E Main St, Newark, DE 19711","39.70463257725731, -75.75434567388993",New Castle
Howard High School,"401 E 12th St, Wilmington, DE 19801","39.74657126228597, -75.54187410106302",New Castle
African Union Church and Cemetery of Iron Hill and Museum complex,"1578 Whittaker Rd, Newark, DE 19702","39.63345128978564, -75.76199788336817",New Castle
Fort Christina,"1110 E 7th St, Wilmington, DE 19801","39.7372254824939, -75.53828857811308",New Castle
Cooch's Bridge Historic District,"961 S Old Baltimore Pike, Newark, DE 19702","39.640311283340004, -75.73736134929992",New Castle
Hale-Byrnes House,"606 Stanton Christiana Rd, Newark, DE 19713","39.70143571006796, -75.65054296646166",New Castle
Governor Ross Mansion,"23669 Ross Station Rd, Seaford, DE 19973","38.657462672884336, -75.61879149340712",Sussex
Old Christ Church,"Christ Church Rd & Chipmans Pond Rd, Delaware 19956","38.56117848429153, -75.53732827435034",Sussex
Sussex County Courthouse and the Circle,"1 The Cir, Georgetown, DE 19947","38.690404549758625, -75.38516716625298",Sussex
Phillips Potato House,SW of jct. of DE 492 and DE 492A,"38.5558119124722, -75.61638646541836",Sussex
Prospect A.M.E. Church,"220 S Railroad Ave, Georgetown, DE 19947","38.69089801584448, -75.38025388393973",Sussex
Johnson School - Nanticoke Community Center,"27073 John J. Williams Hwy, Millsboro, DE 19966","38.60707606289965, -75.21178501007897",Sussex
Camp Rehoboth Community Center at 37 Baltimore Ave,"37 Baltimore Ave, Rehoboth Beach, DE 19971","38.71763036138658, -75.0800105455048",Sussex
Delaware Breakwater and Lewes Harbor,"15099 Cape Henlopen Dr, Lewes, DE 19958","38.784337618098036, -75.09833253224211",Sussex
Fenwick Island Lighthouse Station,"103 146th St, Ocean City, MD 21842","38.45162295763463, -75.05502864042144",Sussex
Lewes Historic District- Zwaanendael Museum image and several Dutch and early US sites,"102 Kings Hwy, Lewes, DE 19958","38.774271524520614, -75.13918173201412",Sussex
