site_id,site_name,site_city,status,confidence,marker_number,marker_name,marker_city,marker_url,photo_url,note
1,Loockerman Hall,Dover,matched_with_photo,high,KC-060,Loockerman Hall,Dover,https://archives.delaware.gov/delaware-historical-markers/loockerman-hall/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-60-2.jpg,
2,Belmont Hall,Smyrna,matched_with_photo,high,KC-032,Belmont Hall,Smyrna,https://archives.delaware.gov/delaware-historical-markers/belmont-hall/,https://archives.delaware.gov/wp-content/uploads/sites/156/2022/05/KC_32_1325-003-036_k32p_Belmont_Hall.jpg,
3,Governor's House,Dover,matched_but_no_photo_url,medium,KC-138,"Woodburn, The Governor's House",,,,Matched marker record exists but no photo URL currently available
4,Brecknock,Camden,matched_with_photo,high,KC-055,Brecknock,Camden,https://archives.delaware.gov/delaware-historical-markers/brecknock/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-55-25.jpg,
5,"Dickinson, John, House",Dover,matched_with_photo,high,KC-033,Home of John Dickinson,Dover,https://archives.delaware.gov/delaware-historical-markers/home-of-john-dickinson/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-33-24.jpg,
6,Barratt's Chapel,Frederica,matched_with_photo,high,KC-093,Barratt's Chapel,Frederica,https://archives.delaware.gov/delaware-historical-markers/barratts-chapel-93/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-93-2.jpg,
7,Star Hill AME Church,Camden,matched_with_photo,high,KC-050,Star Hill A.M.E. Church,Dover,https://archives.delaware.gov/delaware-historical-markers/star-hill-ame-church/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-50-24.jpg,
8,Old Statehouse or The Green,Dover,matched_with_photo,high,KC-A6,State House,Dover,https://archives.delaware.gov/delaware-historical-markers/state-house/,https://archives.delaware.gov/wp-content/uploads/sites/156/2025/12/kc-a6-25.jpg,
9,"Thorne, Parson, Mansion",Milford,matched_with_photo,high,KC-092,Parson Thorne Mansion (Silver Hill),Milford,https://archives.delaware.gov/delaware-historical-markers/parson-thorne-mansion-silver-hill/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-092-24.jpg,
10,Vincelette Futuro House,Houston,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
11,Corbit-Sharp House,Odessa,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
12,Scott A.M.E. Zion Church,Wilmington,matched_with_photo,medium,NCC-112,Scott AME Zion Church,Wilmington,https://archives.delaware.gov/delaware-historical-markers/scott-ame-zion-church/,https://archives.delaware.gov/wp-content/uploads/sites/156/2020/07/nc-112.jpg,
13,New Castle Historic District,New Castle,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
14,New Castle County Court House,New Castle,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
15,Eleutherian Mills,Wilmington,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
16,Old College Historic District,Newark,matched_with_photo,high,NCC-A3,"Old College, UD Newark",Newark,https://archives.delaware.gov/delaware-historical-markers/old-college-a3/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/ncc-a3-25.jpg,
17,Howard High School,Wilmington,matched_with_photo,high,NCC-082,Howard High School - First Secondary School for Blacks,Wilmington,https://archives.delaware.gov/delaware-historical-markers/howard-high-school/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/ncc-082-24.jpg,
18,African Union Church and Cemetery of Iron Hill and Museum complex,Newark,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
19,Fort Christina,Wilmington,matched_with_photo,high,NCC-A18,Fort Christina,Wilmington,https://archives.delaware.gov/delaware-historical-markers/fort-christina/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/nc-a18-25.jpg,
20,Cooch's Bridge Historic District,Newark,matched_with_photo,high,NCC-041,American Position Battle of Cooch's Bridge,Newark,https://archives.delaware.gov/delaware-historical-markers/american-position-battle-of-coochs-bridge/,https://archives.delaware.gov/wp-content/uploads/sites/156/2025/10/nc-41-25.jpg,
21,Hale-Byrnes House,Stanton,matched_with_photo,high,NCC-050,Hale-Byrnes House (Originally: Meeting Place of Washington's Officers - Changed in 1973,Newark,https://archives.delaware.gov/delaware-historical-markers/hale-byrnes-house/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/ncc-50-2.jpg,
22,"Ross, Gov. William H., House",Seaford,matched_with_photo,high,SC-077,Governor Ross Mansion,Seaford,https://archives.delaware.gov/delaware-historical-markers/governor-ross-mansion/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/SC_077-2.jpg,
23,Old Christ Church,Laurel,matched_with_photo,high,SC-063,Old Christ Church (Broadcreek),Laurel,https://archives.delaware.gov/delaware-historical-markers/old-christ-church-63/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/sc-63-2.jpg,
24,Sussex County Courthouse and the Circle,Georgetown,matched_with_photo,high,SC-087,Sussex County Courthouse,Georgetown,https://archives.delaware.gov/delaware-historical-markers/sussex-county-courthouse/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/sc-87-25.jpg,
25,Phillips Potato House - in ok condition,Laurel,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
26,Prospect A.M.E. Church,Georgetown,matched_with_photo,high,SC-107,Prospect A.M.E. Church (Georgetown),Georgetown,https://archives.delaware.gov/delaware-historical-markers/prospect-ame-church/,https://archives.delaware.gov/wp-content/uploads/sites/156/2025/09/sc-107-25.jpg,
27,Johnson School - Nanticoke Community Center,Millsboro,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
28,Camp Rehoboth Community Center at 37 Baltimore Ave,Lewes,needs_non_marker_source,n/a,,,,,,No reliable marker match from DE marker list
29,Delaware Breakwater and Lewes Harbor,Lewes,matched_with_photo,high,SC-185,Delaware Breakwater East End Lighthouse,Lewes,https://archives.delaware.gov/delaware-historical-markers/delaware-east-end-breakwater-lighthouse/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/sc-185-2.jpg,
