#,site_name,site_city,match_status,confidence,score,marker_number,marker_name,marker_city,marker_url,photo_url,second_score,second_marker
1,Loockerman Hall,Dover,auto,high,1.240,KC-060,Loockerman Hall,Dover,https://archives.delaware.gov/delaware-historical-markers/loockerman-hall/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-60-2.jpg,0.769,Dover (Loockerman Plaza)
2,Belmont Hall,Smyrna,auto,high,1.240,KC-032,Belmont Hall,Smyrna,https://archives.delaware.gov/delaware-historical-markers/belmont-hall/,https://archives.delaware.gov/wp-content/uploads/sites/156/2022/05/KC_32_1325-003-036_k32p_Belmont_Hall.jpg,0.640,Old Town Hall
3,Governor's House,Dover,review,medium,0.819,KC-138,"Woodburn, The Governor's House",,,,0.715,Dover (S. Governors Ave)
4,Brecknock,Camden,auto,high,1.240,KC-055,Brecknock,Camden,https://archives.delaware.gov/delaware-historical-markers/brecknock/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-55-25.jpg,0.471,Rockwood
5,"Dickinson, John, House",Dover,review,high,0.941,NCC-A4,John Dickinson,Wilmington,https://archives.delaware.gov/delaware-historical-markers/john-dickinson/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/ncca4-2-2.jpg,0.895,Home of John Dickinson
6,Barratt's Chapel,Frederica,auto,high,1.240,KC-093,Barratt's Chapel,Frederica,https://archives.delaware.gov/delaware-historical-markers/barratts-chapel-93/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-93-2.jpg,0.746,Barratt's Chapel (Cradle of Methodism in America)
7,Star Hill AME Church,Camden,auto,high,0.952,KC-050,Star Hill A.M.E. Church,Dover,https://archives.delaware.gov/delaware-historical-markers/star-hill-ame-church/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-50-24.jpg,0.778,Sand Hill Church
8,Old Statehouse or The Green,Dover,auto,high,0.926,KC-A6,State House,Dover,https://archives.delaware.gov/delaware-historical-markers/state-house/,https://archives.delaware.gov/wp-content/uploads/sites/156/2025/12/kc-a6-25.jpg,0.620,The Green or Market Plaine
9,"Thorne, Parson, Mansion",Milford,auto,high,0.919,KC-092,Parson Thorne Mansion (Silver Hill),Milford,https://archives.delaware.gov/delaware-historical-markers/parson-thorne-mansion-silver-hill/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-092-24.jpg,0.718,The Tilton Mansion
10,Vincelette Futuro House,Houston,review,low,0.611,NCC-151,Meeteer House,Newark,https://archives.delaware.gov/delaware-historical-markers/meeteer-house/,https://archives.delaware.gov/wp-content/uploads/sites/156/2025/09/nc-151-25.jpg,0.542,Hiram Rodney Burton House
11,Corbit-Sharp House,Odessa,review,low,0.625,NCC-002,Robinson House,Claymont,,,0.625,Robinson House
12,Scott A.M.E. Zion Church,Wilmington,auto,high,1.075,NCC-112,Scott AME Zion Church,Wilmington,,,0.787,Bethel A.M.E. Church
13,New Castle Historic District,New Castle,review,medium,0.899,NCC-021,New Castle,New Castle,,,0.899,New Castle
14,New Castle County Court House,New Castle,review,medium,0.796,NCC-021,New Castle,New Castle,,,0.796,New Castle
15,Eleutherian Mills,Wilmington,review,low,0.661,NCC-060,du Pont Powder Mills,Wilmington,https://archives.delaware.gov/delaware-historical-markers/dupont-powder-mills/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/ncc-60-24.jpg,0.661,Site of Gilpin Mills
