#,site_name,site_city,marker_number,marker_name,marker_url,photo_url,score
1,Loockerman Hall,Dover,KC-060,Loockerman Hall,https://archives.delaware.gov/delaware-historical-markers/loockerman-hall/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-60-2.jpg,1.240
2,Belmont Hall,Smyrna,KC-032,Belmont Hall,https://archives.delaware.gov/delaware-historical-markers/belmont-hall/,https://archives.delaware.gov/wp-content/uploads/sites/156/2022/05/KC_32_1325-003-036_k32p_Belmont_Hall.jpg,1.240
4,Brecknock,Camden,KC-055,Brecknock,https://archives.delaware.gov/delaware-historical-markers/brecknock/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-55-25.jpg,1.240
6,Barratt's Chapel,Frederica,KC-093,Barratt's Chapel,https://archives.delaware.gov/delaware-historical-markers/barratts-chapel-93/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-93-2.jpg,1.240
7,Star Hill AME Church,Camden,KC-050,Star Hill A.M.E. Church,https://archives.delaware.gov/delaware-historical-markers/star-hill-ame-church/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-50-24.jpg,0.952
8,Old Statehouse or The Green,Dover,KC-A6,State House,https://archives.delaware.gov/delaware-historical-markers/state-house/,https://archives.delaware.gov/wp-content/uploads/sites/156/2025/12/kc-a6-25.jpg,0.926
9,"Thorne, Parson, Mansion",Milford,KC-092,Parson Thorne Mansion (Silver Hill),https://archives.delaware.gov/delaware-historical-markers/parson-thorne-mansion-silver-hill/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/kc-092-24.jpg,0.919
16,Old College Historic District,Newark,NCC-A3,"Old College, UD Newark",https://archives.delaware.gov/delaware-historical-markers/old-college-a3/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/ncc-a3-25.jpg,0.920
18,African Union Church and Cemetery of Iron Hill and Museum complex,Newark,NCC-251,Site of African Union Church and Cemetery,https://archives.delaware.gov/delaware-historical-markers/site-of-african-union-church-and-cemetery/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/NCC_251.jpeg,0.903
24,Sussex County Courthouse and the Circle,Georgetown,SC-087,Sussex County Courthouse,https://archives.delaware.gov/delaware-historical-markers/sussex-county-courthouse/,https://archives.delaware.gov/wp-content/uploads/sites/156/2019/06/sc-87-25.jpg,1.209
26,Prospect A.M.E. Church,Georgetown,SC-107,Prospect A.M.E. Church (Georgetown),https://archives.delaware.gov/delaware-historical-markers/prospect-ame-church/,https://archives.delaware.gov/wp-content/uploads/sites/156/2025/09/sc-107-25.jpg,1.021
