#,Site Name,County,City
1,Loockerman Hall,Kent,Dover
2,Belmont Hall,Kent,Smyrna
3,Governor's House,Kent,Dover
4,Brecknock,Kent,Camden
5,"Dickinson, John, House",Kent,Dover
6,Barratt's Chapel,Kent,Frederica
7,Star Hill AME Church,Kent,Camden
8,Old Statehouse or The Green,Kent,Dover
9,"Thorne, Parson, Mansion",Kent,Milford
10,Vincelette Futuro House,Kent,Houston
11,Corbit-Sharp House,New Castle,Odessa
12,Scott A.M.E. Zion Church,New Castle,Wilmington
13,New Castle Historic District,New Castle,New Castle
14,New Castle County Court House,New Castle,New Castle
15,Eleutherian Mills,New Castle,Wilmington
16,Old College Historic District,New Castle,Newark
17,Howard High School,New Castle,Wilmington
18,African Union Church and Cemetery of Iron Hill and Museum complex,New Castle,Newark
19,Fort Christina,New Castle,Wilmington
20,Cooch's Bridge Historic District,New Castle,Newark
21,Hale-Byrnes House,New Castle,Stanton
22,"Ross, Gov. William H., House",Sussex,Seaford
23,Old Christ Church,Sussex,Laurel
24,Sussex County Courthouse and the Circle,Sussex,Georgetown
25,Phillips Potato House - in ok condition,Sussex,Laurel
26,Prospect A.M.E. Church,Sussex,Georgetown
27,Johnson School - Nanticoke Community Center,Sussex,Millsboro
28,Camp Rehoboth Community Center at 37 Baltimore Ave,Sussex,Lewes
29,Delaware Breakwater and Lewes Harbor,Sussex,Lewes
30,Fenwick Island Lighthouse Station,Sussex,Fenwick Island
31,Lewes Historic District- Zwaanendael Museum image and several Dutch and early US sites,Sussex,Lewes
